# real space correlation function weights for Xi_+ in Real space
# lowest theta boundary = 2.0
# highest theta boundary = 300.0
# number of theta bins = 9
# type of binning = log
# theta[arcmin]      R(theta)
2.047249069238907371e+00 0.000000000000000000e+00
2.047351653019194639e+00 0.000000000000000000e+00
2.047454241939761221e+00 0.000000000000000000e+00
2.047556836000864688e+00 0.000000000000000000e+00
2.047659435202762612e+00 0.000000000000000000e+00
2.047762039545712121e+00 0.000000000000000000e+00
2.047864649029971673e+00 0.000000000000000000e+00
2.047967263655798398e+00 0.000000000000000000e+00
2.048069883423450310e+00 0.000000000000000000e+00
2.048172508333184094e+00 0.000000000000000000e+00
2.048275138385258654e+00 0.000000000000000000e+00
2.048377773579930672e+00 0.000000000000000000e+00
2.048480413917458609e+00 0.000000000000000000e+00
2.048583059398099593e+00 0.000000000000000000e+00
2.048685710022111639e+00 0.000000000000000000e+00
2.048788365789752319e+00 0.000000000000000000e+00
2.048891026701279650e+00 0.000000000000000000e+00
2.048993692756951202e+00 0.000000000000000000e+00
2.049096363957024547e+00 0.000000000000000000e+00
2.049199040301757258e+00 0.000000000000000000e+00
2.049301721791407793e+00 0.000000000000000000e+00
2.049404408426233726e+00 0.000000000000000000e+00
2.049507100206492627e+00 0.000000000000000000e+00
2.049609797132442512e+00 0.000000000000000000e+00
2.049712499204341842e+00 0.000000000000000000e+00
2.049815206422446856e+00 0.000000000000000000e+00
2.049917918787016902e+00 0.000000000000000000e+00
2.050020636298309107e+00 0.000000000000000000e+00
2.050123358956581932e+00 0.000000000000000000e+00
2.050226086762092503e+00 0.000000000000000000e+00
2.050328819715099726e+00 0.000000000000000000e+00
2.050431557815860284e+00 0.000000000000000000e+00
2.050534301064633524e+00 0.000000000000000000e+00
2.050637049461676131e+00 0.000000000000000000e+00
2.050739803007247009e+00 0.000000000000000000e+00
2.050842561701603728e+00 0.000000000000000000e+00
2.050945325545004305e+00 0.000000000000000000e+00
2.051048094537706756e+00 0.000000000000000000e+00
2.051150868679969541e+00 0.000000000000000000e+00
2.051253647972049787e+00 0.000000000000000000e+00
2.051356432414205955e+00 0.000000000000000000e+00
2.051459222006696503e+00 0.000000000000000000e+00
2.051562016749779449e+00 0.000000000000000000e+00
2.051664816643711919e+00 0.000000000000000000e+00
2.051767621688753263e+00 0.000000000000000000e+00
2.051870431885161050e+00 0.000000000000000000e+00
2.051973247233193298e+00 0.000000000000000000e+00
2.052076067733108022e+00 0.000000000000000000e+00
2.052178893385163683e+00 0.000000000000000000e+00
2.052281724189618739e+00 0.000000000000000000e+00
2.052384560146730319e+00 0.000000000000000000e+00
2.052487401256757771e+00 0.000000000000000000e+00
2.052590247519958666e+00 0.000000000000000000e+00
2.052693098936591465e+00 0.000000000000000000e+00
2.052795955506914183e+00 0.000000000000000000e+00
2.052898817231185280e+00 0.000000000000000000e+00
2.053001684109662772e+00 0.000000000000000000e+00
2.053104556142605563e+00 0.000000000000000000e+00
2.053207433330270781e+00 0.000000000000000000e+00
2.053310315672917774e+00 0.000000000000000000e+00
2.053413203170804113e+00 0.000000000000000000e+00
2.053516095824188703e+00 0.000000000000000000e+00
2.053618993633329559e+00 0.000000000000000000e+00
2.053721896598485142e+00 0.000000000000000000e+00
2.053824804719913466e+00 0.000000000000000000e+00
2.053927717997873437e+00 0.000000000000000000e+00
2.054030636432623513e+00 0.000000000000000000e+00
2.054133560024421268e+00 0.000000000000000000e+00
2.054236488773525604e+00 0.000000000000000000e+00
2.054339422680195426e+00 0.000000000000000000e+00
2.054442361744688306e+00 0.000000000000000000e+00
2.054545305967263147e+00 0.000000000000000000e+00
2.054648255348178409e+00 0.000000000000000000e+00
2.054751209887692553e+00 0.000000000000000000e+00
2.054854169586064039e+00 0.000000000000000000e+00
2.054957134443551325e+00 0.000000000000000000e+00
2.055060104460412873e+00 0.000000000000000000e+00
2.055163079636907586e+00 0.000000000000000000e+00
2.055266059973293480e+00 0.000000000000000000e+00
2.055369045469829015e+00 0.000000000000000000e+00
2.055472036126773538e+00 0.000000000000000000e+00
2.055575031944385067e+00 0.000000000000000000e+00
2.055678032922922061e+00 0.000000000000000000e+00
